time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2019-07-15,228.2,235.58,203.08,225.85,715991.21,159784811.64,force_direct,
2019-07-16,198.88,234.5,192.25,228.2,715604.83,151473621.65,force_direct,
2019-07-17,210.81,219.86,191.84,198.88,694854.1,143020071.96,force_direct,
2019-07-18,225.73,229.65,205.71,210.81,609081.49,132637638.79,force_direct,
2019-07-19,220.73,226.23,212.52,225.73,371622.22,81600507.57,force_direct,
2019-07-20,228.2,235.09,219.78,220.73,325393.97,74182517.24,force_direct,
2019-07-21,225.38,229.66,216.99,228.2,270046.15,60421739.05,force_direct,
2019-07-22,217.51,228.34,212.25,225.38,271310.4,59602149.04,force_direct,
2019-07-23,212.48,219.55,208.36,217.51,317876.48,67930201.67,force_direct,
2019-07-24,216.31,218.28,202.0,212.48,331162.65,69281797.02,force_direct,
2019-07-25,219.14,225.12,215.23,216.31,280370.3,62017449.36,force_direct,
2019-07-26,218.81,220.0,212.71,219.14,197781.99,42839496.54,force_direct,
2019-07-27,207.3,223.3,203.0,218.81,301209.41,63931823.16,force_direct,
2019-07-28,211.62,213.52,198.24,207.3,218801.17,45414505.79,force_direct,
2019-07-29,210.89,215.83,206.59,211.62,226941.28,47853275.13,force_direct,
2019-07-30,209.58,214.36,204.4,210.89,222683.79,46627086.48,force_direct,
2019-07-31,218.42,218.79,209.2,209.58,207213.56,44416634.9,force_direct,
2019-08-01,216.84,219.39,210.54,218.42,186806.19,40054998.68,force_direct,
2019-08-02,217.61,222.18,214.31,216.84,206867.03,45116694.86,force_direct,
2019-08-03,222.14,224.51,216.62,217.61,181591.95,40285734.53,force_direct,
2019-08-04,221.79,223.34,216.9,222.14,135622.03,29836777.69,force_direct,
2019-08-05,233.54,236.25,221.79,221.79,307956.27,70962003.84,force_direct,
2019-08-06,226.28,239.15,223.03,233.54,341279.08,78590684.02,force_direct,
2019-08-07,226.1,231.25,220.95,226.28,279104.7,63135096.49,force_direct,
2019-08-08,221.39,228.5,215.51,226.1,236886.35,52730777.07,force_direct,
2019-08-09,210.53,221.79,207.3,221.39,232062.13,49415315.75,force_direct,
2019-08-10,206.48,215.0,202.6,210.53,252614.02,52534644.57,force_direct,
2019-08-11,216.42,216.94,206.14,206.48,188474.09,39875149.55,force_direct,
2019-08-12,211.41,216.81,209.75,216.42,122760.95,26091487.96,force_direct,
2019-08-13,209.3,214.3,204.0,211.41,166922.48,34861802.4,force_direct,
2019-08-14,187.1,209.9,183.49,209.3,325228.99,63597043.19,force_direct,
2019-08-15,188.03,189.95,181.23,187.1,237953.09,44183760.71,force_direct,
2019-08-16,184.88,188.39,178.04,188.03,282177.02,51945182.47,force_direct,
2019-08-17,185.59,187.0,181.83,184.88,138799.62,25599796.9,force_direct,
2019-08-18,194.33,197.91,183.35,185.59,175363.51,33655229.09,force_direct,
2019-08-19,202.28,203.59,192.7,194.33,239541.6,47675347.06,force_direct,
2019-08-20,196.6,202.75,194.45,202.28,189297.75,37412398.98,force_direct,
2019-08-21,187.45,197.2,179.53,196.6,284973.64,53434048.95,force_direct,
2019-08-22,190.35,195.14,182.8,187.45,245575.99,46426395.05,force_direct,
2019-08-23,194.02,196.19,188.16,190.35,192548.52,37022930.57,force_direct,
2019-08-24,190.6,194.09,185.63,194.02,167806.34,31786227.86,force_direct,
2019-08-25,186.54,192.4,182.8,190.6,169862.92,31935951.29,force_direct,
2019-08-26,188.67,193.7,186.0,186.54,254397.79,48298621.32,force_direct,
2019-08-27,187.24,189.49,184.75,188.67,157898.56,29513243.5,force_direct,
2019-08-28,173.03,188.25,166.48,187.24,334480.62,59498959.97,force_direct,
2019-08-29,169.01,173.5,163.61,173.03,295241.22,49838097.17,force_direct,
2019-08-30,168.5,170.77,165.55,169.01,238616.69,40216956.6,force_direct,
2019-08-31,171.57,174.98,165.63,168.5,194999.2,32983642.84,force_direct,
2019-09-01,170.74,173.42,167.61,171.57,191140.52,32627380.93,force_direct,
